DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.CMCC.CMCC-CESM.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,166a5a6a-1e36-4391-900f-8981fdc63972
CMIP5.output.MRI.MRI-CGCM3.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,9c0382fb-8298-4de2-b610-e32bba4a06d6
CMIP5.output.MPI-M.MPI-ESM-LR.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,18e79bac-662f-455a-a60f-a725b72c7366
CMIP5.output.MRI.MRI-ESM1.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,eda3c8a8-e5ae-42b7-b08d-12adf87463fe
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp85,monthly,land,Lmon,r1i1p1,version_no,mrso,3fa7156f-9ab3-4f3e-baaa-8ebdd3933b0b
CMIP5.output.LASG-CESS.FGOALS-g2.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,f1658fc7-c872-4665-9831-86b753fa0ae0
CMIP5.output.MIROC.MIROC-ESM.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,b488f426-dab0-47c7-87a4-af1aab3fa6b2
CMIP5.output.MIROC.MIROC5.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,91e2aba8-e4fc-4b67-9930-43b1ff922393
CMIP5.output.CCCma.CanESM2.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,e8235fc8-6805-4030-b59a-1a9a6e131933
CMIP5.output.MPI-M.MPI-ESM-MR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,3e856ae0-0358-48cd-ac4a-2d9084cb915a
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,5d6568c9-d8d4-4285-a057-a07d1c53bde5
CMIP5.output.BNU.BNU-ESM.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,31859a53-928f-4c5e-ab8a-aea4cf22d8e6
CMIP5.output.NCAR.CCSM4.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,99ac709a-1852-4727-a24d-1ac8853407c1
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,24e119f9-bf93-442f-a9bf-11103a2e5c3e
CMIP5.output.BCC.bcc-csm1-1-m.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,744a4fef-9a83-4874-abfc-9511d6ffaf85
CMIP5.output.NOAA-GFDL.GFDL-ESM2M.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,148e1af3-f890-418e-afd6-f3aaae675739
CMIP5.output.MOHC.HadGEM2-ES.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,a1c94877-bdcc-423a-8f75-eb349366b233
CMIP5.output.NCC.NorESM1-M.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,cc5c0f45-2b37-4013-86ca-2723692802bb
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,48bf6424-df5d-454c-b1e6-e874e3d022d5
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,9db3cbe5-47d1-4c5c-9f02-4df6ae6746d4
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,e618bbc9-ce09-4534-a8e9-c26d82af426c
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,de8d387e-82cb-4b5a-8618-e0b1a554bac9
CMIP5.output.NASA-GISS.GISS-E2-H.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,265741b8-ba8e-4ff3-84cf-00910ad31e18
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,d66f7818-fa71-4c6d-b62f-6c362db30e18
CMIP5.output.NCC.NorESM1-ME.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,8ce8553a-ca1c-4ec0-ac1a-bfaa7d9969eb
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp26,monthly,land,Lmon,r1i1p1,version_no,mrso,544d4267-a978-4145-8188-84dfc77b3f91
