DATA_REF_SYNTAX,FREQUENCY,MODELING_REALM,TABLE_ID,ENS_MEMBER,VERSION_NO,VAR_NAME,HANDLE
CMIP5.output.NASA-GISS.GISS-E2-H-CC.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,2ed40bc1-0ae6-4f07-8f6c-0ca60cd87e3d
CMIP5.output.CMCC.CMCC-CESM.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a6c1b8c6-ec94-4602-9770-a2d83cb32c1d
CMIP5.output.MRI.MRI-CGCM3.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a292f03f-3129-41cb-9c0f-f6064be9f56e
CMIP5.output.MPI-M.MPI-ESM-LR.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,9dcf0555-d5c5-48d9-889a-99e697a16d4f
CMIP5.output.MRI.MRI-ESM1.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,d6bd6cf6-a8fa-4bf3-8f1a-7b06cab4efde
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp85,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,44750a34-4f2d-4185-b8eb-e79bfb38b883
CMIP5.output.IPSL.IPSL-CM5A-LR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,e57e2a83-b646-44e2-befb-45f5cf161e00
CMIP5.output.NOAA-GFDL.GFDL-CM3.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,84829f19-4643-4960-9bdd-132a03ecf535
CMIP5.output.MIROC.MIROC-ESM.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,08235c7b-d0ae-40e9-8459-29bee00a2fea
CMIP5.output.CNRM-CERFACS.CNRM-CM5.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b6a89424-167e-4311-aea0-fd67afa7c12c
CMIP5.output.NIMR-KMA.HadGEM2-AO.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,b366f140-6ba5-4d85-ae13-bb6e4dde0b5d
CMIP5.output.CCCma.CanESM2.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a1cbffbc-1111-4570-84f2-32dc6607c588
CMIP5.output.MIROC.MIROC-ESM-CHEM.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,8362f803-0a0e-4b78-a94e-964152ab31bf
CMIP5.output.BNU.BNU-ESM.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a17c85bc-dad8-4caf-8b73-21425e32d08c
CMIP5.output.NASA-GISS.GISS-E2-R.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,9a0030da-b23e-4433-a366-13fc8d071073
CMIP5.output.MIROC.MIROC5.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a27fb6be-d1fb-4ee0-a2f0-3b6be2c90bcd
CMIP5.output.MPI-M.MPI-ESM-LR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,42927ecf-c142-4229-befb-7cde60a92761
CMIP5.output.NASA-GISS.GISS-E2-H.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,34a29f89-4799-4208-a0ed-c04f58ff97ed
CMIP5.output.NOAA-GFDL.GFDL-ESM2G.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,973d28ad-b20f-4e0d-996a-03f1049636ec
CMIP5.output.MRI.MRI-CGCM3.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,a2206795-1231-494b-816e-1f8b8ea2e34e
CMIP5.output.MPI-M.MPI-ESM-MR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,76c874d6-a848-4ef3-a8d2-ff9c39e3cd20
CMIP5.output.CSIRO-QCCCE.CSIRO-Mk3-6-0.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,8733d89d-9289-40ed-b7cd-262fb70abc74
CMIP5.output.MOHC.HadGEM2-ES.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,0511a349-f3a9-460f-8fb0-19b6490bc666
CMIP5.output.NSF-DOE-NCAR.CESM1-CAM5.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,c43f60ee-421d-4670-ae54-f641456bde3d
CMIP5.output.IPSL.IPSL-CM5A-MR.rcp26,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,51ff61de-93eb-416c-a277-b15edb3f2074
CMIP5.output.CSIRO-BOM.ACCESS1-0.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,d1aade14-0bbf-45f3-9a5a-4f4dec778bf6
CMIP5.output.CSIRO-BOM.ACCESS1-3.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,9cecc4d4-0886-42a5-9458-f372518fe2d4
CMIP5.output.IPSL.IPSL-CM5B-LR.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,2159681c-c5cc-4e36-b082-6b8bb2f486b9
CMIP5.output.MIROC.MIROC5.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,6a76767e-6e99-4f86-a00e-c4f085166701
CMIP5.output.CMCC.CMCC-CMS.historical,monthly,atmos,Amon,r1i1p1,version_no,sfcWind,903b4b75-9212-4f4b-be90-53160a742bb1
